Block,suillus,fert,above_mass,plantresp,soilresp,soilrespday,soilresppdayg,soilrespyrg,soilrespdaykg,soilrespyrkg,soilrespadj
1,1,N3,0.71,0.91208,0.28641,6.87384,0.00687384,2.5089516,6.87E-16,2.51E-13,-0.556402732
1,0,C,0.17,0.33321,0.43303,10.39272,0.01039272,3.7933428,1.04E-15,3.79E-13,-0.271045993
1,0,N1,0.8,0.65546,0.5733,13.7592,0.0137592,5.022108,1.38E-15,5.02E-13,-0.220286252
1,1,C,1.41,2.54802,1.04974,25.19376,0.02519376,9.1957224,2.52E-15,9.20E-13,-0.100278936
1,0,N1,0.2,0.84838,0.44725,10.734,0.010734,3.91791,1.07E-15,3.92E-13,-0.355231708
1,0,C,0.6,1.00363,0.4554,10.9296,0.0109296,3.989304,1.09E-15,3.99E-13,-0.365050422
1,1,N1,1.32,1.46719,0.43549,10.45176,0.01045176,3.8148924,1.05E-15,3.81E-13,-0.424372905
1,1,C,0.6,1.97392,0.67609,16.22616,0.01622616,5.9225484,1.62E-15,5.92E-13,-0.264525666
1,0,N3,0.37,0.17489,0.73707,17.68968,0.01768968,6.4567332,1.77E-15,6.46E-13,0.027691297
1,1,N1,1.59,5.94597,0.05571,1.33704,0.00133704,0.4880196,1.34E-16,4.88E-14,-1.464485578
1,0,N2,0.68,1.09832,0.75354,18.08496,0.01808496,6.6010104,1.81E-15,6.60E-13,-0.155812416
1,1,N3,1.26,7.62243,0.92578,22.21872,0.02221872,8.1098328,2.22E-15,8.11E-13,-0.270014851
1,1,N2,1.22,3.76336,1.21392,29.13408,0.02913408,10.6339392,2.91E-15,1.06E-12,-0.078157597
1,1,N2,1.33,5.7661,0.60063,14.41512,0.01441512,5.2615188,1.44E-15,5.26E-13,-0.428583405
1,0,N3,1.14,1.49799,0.81592,19.58208,0.01958208,7.1474592,1.96E-15,7.15E-13,-0.153886904
2,1,C,1.32,1.53266,0.66907,16.05768,0.01605768,5.8610532,1.61E-15,5.86E-13,-0.240314353
2,0,N1,0.26,0.20837,0.46589,11.18136,0.01118136,4.0811964,1.12E-15,4.08E-13,-0.187789241
2,0,C,0.33,0.40539,0.24296,5.83104,0.00583104,2.1283296,5.83E-16,2.13E-13,-0.540482843
2,1,N3,0.36,0.83038,0.37771,9.06504,0.00906504,3.3087396,9.07E-16,3.31E-13,-0.424216537
2,0,N3,1.04,1.00384,0.35492,8.51808,0.00851808,3.1090992,8.52E-16,3.11E-13,-0.471181733
2,1,N3,0.09,1.01233,0.4817,11.5608,0.0115608,4.219692,1.16E-15,4.22E-13,-0.339420674
2,1,C,0.51,0.81825,0.15512,3.72288,0.00372288,1.3588512,3.72E-16,1.36E-13,-0.809160682
2,0,N2,0.67,0.62403,0.19474,4.67376,0.00467376,1.7059224,4.67E-16,1.71E-13,-0.681895502
2,1,N1,1.2,1.24393,1.16841,28.04184,0.02804184,10.2352716,2.80E-15,1.02E-12,0.023745947
2,0,N2,0.65,0.37064,0.34091,8.18184,0.00818184,2.9863716,8.18E-16,2.99E-13,-0.383959352
2,1,N2,1.19,1.1696,0.66223,15.89352,0.01589352,5.8011348,1.59E-15,5.80E-13,-0.216365091
2,0,N1,0.78,0.7435,0.20002,4.80048,0.00480048,1.7521752,4.80E-16,1.75E-13,-0.688686947
2,1,N1,1.48,0.84657,1.1413,27.3912,0.0273912,9.997788,2.74E-15,1.00E-12,0.053995449
2,0,C,0.54,0.49166,0.16683,4.00392,0.00400392,1.4614308,4.00E-16,1.46E-13,-0.724020471
2,1,N2,0.46,0.94683,0.3848,9.2352,0.0092352,3.370848,9.24E-16,3.37E-13,-0.429932351
2,0,N3,0.18,0.61052,0.76421,18.34104,0.01834104,6.6944796,1.83E-15,6.69E-13,-0.085837674
3,1,C,0.62,0.74981,0.35933,8.62392,0.00862392,3.1477308,8.62E-16,3.15E-13,-0.428704236
3,0,N1,0.56,0.19907,0.14567,3.49608,0.00349608,1.2760692,3.50E-16,1.28E-13,-0.681453118
3,1,N1,1.03,0.43662,0.10034,2.40816,0.00240816,0.8789784,2.41E-16,8.79E-14,-0.925892256
3,1,N1,2.34,0.83995,0.72647,17.43528,0.01743528,6.3638772,1.74E-15,6.36E-13,-0.134910793
3,1,C,1.31,0.9267,0.51616,12.38784,0.01238784,4.5215616,1.24E-15,4.52E-13,-0.293673759
3,0,N3,0.16,0.11132,0.18409,4.41816,0.00441816,1.6126284,4.42E-16,1.61E-13,-0.518706238
3,0,N1,0.21,0.15242,0.13901,3.33624,0.00333624,1.2177276,3.34E-16,1.22E-13,-0.67371481
3,1,N2,0.29,0.12267,0.08794,2.11056,0.00211056,0.7703544,2.11E-16,7.70E-14,-0.849753629
3,0,N2,0.28,0.00351,0.15494,3.71856,0.00371856,1.3572744,3.72E-16,1.36E-13,-0.230277739
3,0,N3,0.7,1.21448,0.16848,4.04352,0.00404352,1.4758848,4.04E-16,1.48E-13,-0.808332062
3,0,C,0.32,0.99466,0.17799,4.27176,0.00427176,1.5591924,4.27E-16,1.56E-13,-0.76350026
4,1,C,1.16,1.33705,0.67494,16.19856,0.01619856,5.9124744,1.62E-15,5.91E-13,-0.220654781
4,0,C,0.23,0.36784,0.24418,5.86032,0.00586032,2.1390168,5.86E-16,2.14E-13,-0.526575793
4,0,N2,0.39,1.22279,0.57124,13.70976,0.01370976,5.0040624,1.37E-15,5.00E-13,-0.283713052
4,1,N2,0.56,2.5,0.5678,13.6272,0.0136272,4.973928,1.36E-15,4.97E-13,-0.361496275
4,1,N1,1.12,1.07931,0.49982,11.99568,0.01199568,4.3784232,1.20E-15,4.38E-13,-0.328600664
4,0,N1,0.63,0.35414,0.11169,2.68056,0.00268056,0.9784044,2.68E-16,9.78E-14,-0.862282594
4,0,N1,0.83,0.49309,0.0612,1.4688,0.0014688,0.536112,1.47E-16,5.36E-14,-1.15833218
4,0,C,0.39,0.89333,0.34225,8.214,0.008214,2.99811,8.21E-16,3.00E-13,-0.473194957
4,0,N2,0.59,2.36248,0.3188,7.6512,0.0076512,2.792688,7.65E-16,2.79E-13,-0.606227142
4,0,N3,0.84,0.76036,0.40509,9.72216,0.00972216,3.5485884,9.72E-16,3.55E-13,-0.383049193
4,1,N2,1.14,3.42272,1.17897,28.29528,0.02829528,10.3277772,2.83E-15,1.03E-12,-0.077204277
5,1,C,2.23,2.98681,2.17147,52.11528,0.05211528,19.0220772,5.21E-15,1.90E-12,0.198945085
5,1,N1,0.23,1.08937,0.70755,16.9812,0.0169812,6.198138,1.70E-15,6.20E-13,-0.182051106
5,0,N2,0.44,0.34905,0.43559,10.45416,0.01045416,3.8157684,1.05E-15,3.82E-13,-0.273116403
5,1,N1,1.21,3.52211,0.94085,22.5804,0.0225804,8.241846,2.26E-15,8.24E-13,-0.18161389
5,0,N3,0.97,2.43891,0.66968,16.07232,0.01607232,5.8663968,1.61E-15,5.87E-13,-0.290643218
5,1,N3,0.46,0.74828,0.55629,13.35096,0.01335096,4.8731004,1.34E-15,4.87E-13,-0.247035282
5,0,N2,0.57,1.33856,0.74236,17.81664,0.01781664,6.5030736,1.78E-15,6.50E-13,-0.182842916
5,0,C,0.24,0.36733,0.21478,5.15472,0.00515472,1.8814728,5.15E-16,1.88E-13,-0.585565139
5,0,N1,0.48,0.39254,0.20003,4.80072,0.00480072,1.7522628,4.80E-16,1.75E-13,-0.623439886
5,0,C,0.32,0.3751,0.21017,5.04408,0.00504408,1.8410892,5.04E-16,1.84E-13,-0.597188126
5,1,C,1.64,1.83378,1.19593,28.70232,0.02870232,10.4763468,2.87E-15,1.05E-12,-0.008834367
5,0,N1,1.12,1.31183,0.12614,3.02736,0.00302736,1.1049864,3.03E-16,1.10E-13,-0.95048473
5,1,N2,1.49,3.56461,0.25294,6.07056,0.00607056,2.2157544,6.07E-16,2.22E-13,-0.75337733
6,1,N2,1.08,1.07664,0.84281,20.22744,0.02022744,7.3830156,2.02E-15,7.38E-13,-0.099519821
6,1,N3,0.13,0.10357,0.07221,1.73304,0.00173304,0.6325596,1.73E-16,6.33E-14,-0.920585332
6,0,C,0.22,0.11297,0.10851,2.60424,0.00260424,0.9505476,2.60E-16,9.51E-14,-0.752843086
6,1,N1,2.88,0.98786,0.27508,6.60192,0.00660192,2.4097008,6.60E-16,2.41E-13,-0.576745988
6,0,N3,0.31,0.12452,0.28869,6.92856,0.00692856,2.5289244,6.93E-16,2.53E-13,-0.33811158
6,1,N1,0.8,0.2089,0.88619,21.26856,0.02126856,7.7630244,2.13E-15,7.76E-13,0.09460797
6,0,N1,0.17,0.38708,0.08841,2.12184,0.00212184,0.7744716,2.12E-16,7.74E-14,-0.971238152
6,0,N2,0.64,0.38032,0.19076,4.57824,0.00457824,1.6710576,4.58E-16,1.67E-13,-0.635400607
6,0,N1,0.31,0.16211,0.27039,6.48936,0.00648936,2.3686164,6.49E-16,2.37E-13,-0.394277944
6,1,C,0.97,1.0271,0.42649,10.23576,0.01023576,3.7360524,1.02E-15,3.74E-13,-0.390390018
6,1,N2,0.47,0.53229,0.28374,6.80976,0.00680976,2.4855624,6.81E-16,2.49E-13,-0.498298055
6,1,N3,0.17,0.39731,0.45288,10.86912,0.01086912,3.9672288,1.09E-15,3.97E-13,-0.264497877
7,1,C,2.65,2.71497,0.85588,20.54112,0.02054112,7.4975088,2.05E-15,7.50E-13,-0.19156106
7,0,N3,0.76,2.20926,1.09151,26.19624,0.02619624,9.5616276,2.62E-15,9.56E-13,-0.064283484
7,1,N3,0.35,1.77033,0.75651,18.15624,0.01815624,6.6270276,1.82E-15,6.63E-13,-0.200218641
7,0,N2,0.43,0.59645,0.31373,7.52952,0.00752952,2.7482748,7.53E-16,2.75E-13,-0.468140599
7,0,N2,0.6,0.61543,0.13759,3.30216,0.00330216,1.2052884,3.30E-16,1.21E-13,-0.829401994
7,0,N3,0.32,1.3016,0.75021,18.00504,0.01800504,6.5718396,1.80E-15,6.57E-13,-0.171525907
7,1,C,1.86,1.91525,0.41985,10.0764,0.0100764,3.677886,1.01E-15,3.68E-13,-0.464208341
7,0,N1,0.88,1.08315,0.32429,7.78296,0.00778296,2.8407804,7.78E-16,2.84E-13,-0.516466875
7,1,N1,0.7,4.48404,0.29528,7.08672,0.00708672,2.5866528,7.09E-16,2.59E-13,-0.706471149
7,1,N1,1.11,1.69708,0.81348,19.52352,0.01952352,7.1260848,1.95E-15,7.13E-13,-0.164245409
7,0,C,0.59,0.43229,0.05746,1.37904,0.00137904,0.5033496,1.38E-16,5.03E-14,-1.171500752
7,0,N1,0.8,0.99704,0.12511,3.00264,0.00300264,1.0959636,3.00E-16,1.10E-13,-0.92140248
7,1,N3,0.14,1.63687,0.89309,21.43416,0.02143416,7.8234684,2.14E-15,7.82E-13,-0.119900653
7,1,N2,1.61,3.24406,0.50005,12.0012,0.0120012,4.380438,1.20E-15,4.38E-13,-0.443672297
7,1,N2,2.01,1.95854,1.05222,25.25328,0.02525328,9.2174472,2.53E-15,9.22E-13,-0.067544962
8,1,C,0.47,1.53294,0.50867,12.20808,0.01220808,4.4559492,1.22E-15,4.46E-13,-0.354698344
8,0,N1,0.85,0.77659,0.07163,1.71912,0.00171912,0.6274788,1.72E-16,6.27E-14,-1.134571056
8,1,N2,0.27,1.05048,0.40595,9.7428,0.0097428,3.556122,9.74E-16,3.56E-13,-0.412941909
8,1,N1,0.86,2.60895,0.50672,12.16128,0.01216128,4.4388672,1.22E-15,4.44E-13,-0.412252318
8,1,C,1.13,1.10722,0.44448,10.66752,0.01066752,3.8936448,1.07E-15,3.89E-13,-0.379090824
8,0,N2,0.76,0.9445,0.25572,6.13728,0.00613728,2.2401072,6.14E-16,2.24E-13,-0.602473135